Probe,1050Hz,Staircase 1,,,
Delta,LeadIn?,Reversal?,Target,Response,Correct?
0.05,1,0,2,2,1
0.0125,1,0,1,1,1
0.003125,1,0,1,1,1
0.00078125,1,1,2,1,0
0.003125,1,1,1,1,1
0.0022097,0,0,2,2,1
0.0022097,0,0,1,1,1
0.0022097,0,1,2,1,0
0.003125,0,0,1,2,0
0.0044194,0,0,2,2,1
0.0044194,0,0,2,1,0
0.00625,0,0,2,2,1
0.00625,0,0,2,2,1
0.00625,0,1,1,1,1
0.0044194,0,1,2,1,0
0.00625,0,0,1,1,1
0.00625,0,0,2,2,1
0.00625,0,1,2,2,1
0.0044194,0,0,2,2,1
0.0044194,0,0,1,1,1
0.0044194,0,0,2,2,1
0.003125,0,0,2,2,1
0.003125,0,0,2,2,1
0.003125,0,0,1,1,1
0.0022097,0,0,1,1,1
0.0022097,0,0,1,1,1
0.0022097,0,0,2,2,1
0.0015625,0,0,2,2,1
0.0015625,0,0,1,1,1
0.0015625,0,0,2,2,1
Threshold:,0.0053347,,,,
