Probe,1050Hz,Staircase 2,,,
Delta,LeadIn?,Reversal?,Target,Response,Correct?
0.05,1,0,2,2,1
0.0125,1,0,,,
0.003125,1,0,,,
0.00078125,1,0,,,
0.00019531,1,0,1,1,1
4.8828e-05,1,0,,,
1.2207e-05,1,1,1,1,1
4.8828e-05,1,1,,,
3.4527e-05,0,0,,,
3.4527e-05,0,0,2,2,1
3.4527e-05,0,0,,,
2.4414e-05,0,0,2,2,1
2.4414e-05,0,0,,,
2.4414e-05,0,0,,,
1.7263e-05,0,0,2,2,1
1.7263e-05,0,0,1,1,1
1.7263e-05,0,0,,,
1.2207e-05,0,0,,,
1.2207e-05,0,0,2,2,1
1.2207e-05,0,0,,,
8.6317e-06,0,0,,,
8.6317e-06,0,0,1,1,1
8.6317e-06,0,0,2,2,1
6.1035e-06,0,1,1,1,1
8.6317e-06,0,0,,,
8.6317e-06,0,0,2,1,0
8.6317e-06,0,1,1,1,1
6.1035e-06,0,0,,,
6.1035e-06,0,0,2,2,1
6.1035e-06,0,0,1,1,1
Threshold:,7.3676e-06,,,,
