Probe,1050Hz,Staircase 2,,,
Delta,LeadIn?,Reversal?,1,1,1
0.05,1,0,1,1,1
0.0125,1,0,2,2,1
0.003125,1,0,,,
0.00078125,1,0,2,2,1
0.00019531,1,1,2,1,0
0.00078125,1,1,,,
0.00055243,0,0,2,2,1
0.00055243,0,0,,,
0.00055243,0,0,2,1,0
0.00039062,0,0,,,
0.00039062,0,0,1,1,1
0.00039062,0,0,1,1,1
0.00027621,0,1,,,
0.00039062,0,0,1,1,1
0.00039062,0,0,1,1,1
0.00039062,0,1,2,2,1
0.00027621,0,0,2,2,1
0.00027621,0,0,1,1,1
0.00027621,0,0,2,2,1
0.00019531,0,0,,,
0.00019531,0,0,2,2,1
0.00019531,0,0,1,1,1
0.00013811,0,0,1,1,1
0.00013811,0,0,,,
0.00013811,0,0,,,
9.7656e-05,0,0,,,
9.7656e-05,0,0,2,2,1
9.7656e-05,0,1,,,
0.00013811,0,0,2,2,1
0.00013811,0,0,,,
Threshold:,0.00024414,,,,
